iter	Passed	Remaining
526	28647	14840
527	28708	14789
528	28758	14732
529	28813	14678
530	28884	14632
531	28946	14582
532	29023	14538
533	29098	14494
534	29168	14447
535	29189	14377
536	29269	14335
537	29339	14288
538	29406	14239
539	29455	14182
540	29519	14132
541	29583	14081
542	29604	14011
543	29659	13957
544	29726	13908
545	29776	13852
546	29835	13799
547	29894	13747
548	29960	13697
549	30023	13647
550	30073	13590
551	30130	13536
552	30201	13489
553	30268	13440
554	30336	13391
555	30388	13335
556	30453	13285
557	30521	13237
558	30559	13174
559	30625	13125
560	30643	13055
561	30721	13010
562	30788	12960
563	30848	12908
564	30904	12854
565	30960	12800
566	31009	12742
567	31069	12690
568	31127	12637
569	31145	12567
570	31201	12513
571	31268	12463
572	31327	12410
573	31385	12357
574	31431	12299
575	31471	12238
576	31505	12176
577	31540	12114
578	31572	12051
579	31606	11988
580	31660	11933
581	31726	11883
582	31787	11831
583	31840	11776
584	31901	11724
585	31972	11676
586	32037	11625
587	32098	11572
588	32167	11523
589	32248	11478
590	32324	11431
591	32379	11376
592	32444	11325
593	32510	11274
594	32562	11218
595	32617	11164
596	32680	11112
597	32745	11061
598	32816	11011
599	32875	10958
600	32938	10906
601	33007	10856
602	33074	10805
603	33148	10756
604	33224	10708
605	33303	10661
606	33364	10608
607	33435	10558
608	33510	10509
609	33565	10454
610	33619	10399
611	33648	10336
612	33688	10276
613	33726	10216
614	33772	10159
615	33789	10093
616	33838	10036
617	33917	9988
618	33968	9932
619	34020	9877
620	34082	9824
621	34141	9770
622	34183	9711
623	34219	9651
624	34259	9592
625	34303	9534
626	34342	9475
627	34397	9420
628	34438	9362
629	34478	9303
630	34546	9252
631	34620	9202
632	34690	9152
633	34758	9100
634	34827	9049
635	34872	8992
636	34926	8937
637	34985	8883
638	35043	8829
639	35121	8780
640	35189	8728
641	35256	8676
642	35330	8626
643	35385	8571
644	35422	8512
645	35477	8457
646	35539	8404
647	35608	8352
648	35668	8298
649	35740	8247
650	35780	8189
651	35812	8129
652	35844	8069
653	35877	8009
654	35918	7951
655	36008	7904
656	36082	7853
657	36146	7800
658	36200	7745
659	36282	7696
660	36359	7645
661	36408	7589
662	36464	7534
663	36553	7486
664	36630	7436
665	36703	7384
666	36786	7335
667	36848	7281
668	36875	7220
669	36928	7165
670	36985	7110
671	37074	7061
672	37148	7010
673	37219	6958
674	37287	6905
675	37359	6852
676	37441	6802
677	37524	6752
678	37588	6698
679	37653	6644
680	37722	6591
681	37798	6539
682	37877	6488
683	37961	6437
684	37997	6379
685	38061	6325
686	38164	6277
687	38205	6219
688	38217	6157
689	38272	6101
690	38338	6047
691	38394	5992
692	38465	5939
693	38537	5886
694	38632	5836
695	38665	5777
696	38717	5721
697	38788	5668
698	38865	5615
699	38941	5563
700	39020	5510
701	39092	5457
702	39187	5407
703	39260	5353
704	39336	5300
705	39404	5246
706	39428	5186
707	39501	5132
708	39572	5079
709	39646	5025
710	39721	4972
711	39802	4919
712	39883	4866
713	39911	4807
714	39996	4754
715	40071	4701
716	40163	4649
717	40233	4594
718	40306	4540
719	40386	4487
720	40428	4429
721	40462	4371
722	40502	4313
723	40537	4255
724	40571	4197
725	40588	4137
726	40627	4079
727	40663	4021
728	40681	3962
729	40719	3904
730	40756	3847
731	40787	3789
732	40823	3731
733	40888	3676
734	40963	3622
735	41033	3568
736	41078	3511
737	41116	3454
738	41151	3396
739	41182	3339
740	41214	3281
741	41268	3225
742	41325	3170
743	41381	3114
744	41453	3060
745	41497	3003
746	41557	2948
747	41609	2892
748	41676	2837
749	41754	2783
750	41831	2729
751	41907	2674
752	41991	2620
753	42074	2566
754	42145	2511
755	42217	2457
756	42286	2401
757	42358	2347
758	42448	2293
759	42526	2238
760	42615	2183
761	42691	2128
762	42768	2073
763	42827	2018
764	42860	1960
765	42892	1903
766	42925	1846
767	42958	1789
768	42995	1733
769	43028	1676
770	43060	1619
771	43093	1562
772	43126	1506
773	43157	1449
774	43194	1393
775	43228	1336
776	43260	1280
777	43292	1224
778	43327	1168
779	43360	1111
780	43393	1055
781	43425	999
782	43460	943
783	43491	887
784	43522	831
785	43554	775
786	43592	720
787	43676	665
788	43752	609
789	43825	554
790	43895	499
791	43977	444
792	44055	388
793	44128	333
794	44203	278
795	44281	222
796	44345	166
797	44375	111
798	44447	55
799	44536	0
